word,meaning
car,자동차
house,집
tree,나무
computer,컴퓨터
phone,전화기
water,물
food,음식
school,학교
book,책
pen,펜
cat,고양이
dog,개
chair,의자
table,테이블
window,창문
door,문
bed,침대
lamp,램프
television,텔레비전
sofa,소파
floor,바닥
ceiling,천장
wall,벽
cup,컵
plate,접시
fork,포크
spoon,숟가락
knife,칼
glass,유리
bottle,병
bag,가방
shoes,신발
socks,양말
shirt,셔츠
pants,바지
hat,모자
coat,코트
sweater,스웨터
dress,드레스
suit,정장
belt,벨트
watch,시계
ring,반지
glove,장갑
scarf,스카프
wallet,지갑
key,열쇠
money,돈
coin,동전
note,지폐
ticket,티켓
passport,여권
bank,은행
hospital,병원
police,경찰
fire,불
accident,사고
medicine,약
doctor,의사
nurse,간호사
friend,친구
family,가족
love,사랑
happy,행복
sad,슬픔
angry,화남
hungry,배고픔
thirsty,목마름
tired,피곤함
sleep,잠
wake,깨어남
run,달리다
walk,걷다
stand,서다
sit,앉다
jump,뛰다
dance,춤추다
sing,노래하다
listen,듣다
read,읽다
write,쓰다
draw,그리다
cook,요리하다
clean,청소하다
wash,씻다
drive,운전하다
ride,타다
fly,날다
swim,수영하다
climb,오르다
laugh,웃다
cry,울다
speak,말하다
tell,말해주다
ask,묻다
answer,대답하다
learn,배우다
teach,가르치다
work,일하다
